"casenum","date","weight_","hhcode","othersid","othersde","s7_4q2","s7_4q3","s7_4q4"
218,"6/11/99",1,920721,5,"Egg (4 Numbers)",12,120,1.79769313486232e+308
219,"6/11/99",1,920821,5,"Egg (4 Numbers)",5,50,35
220,"6/11/99",1,920921,5,"Egg (4 Numbers)",8,64,1.79769313486232e+308
1.79769313486232e+308,"9/28/99",1,921021,4,"Milk (Litre)",1.79769313486232e+308,2000,1.79769313486232e+308
221,"6/11/99",1,921021,5,"Egg (4 Numbers)",15,120,1.79769313486232e+308
222,"6/11/99",1,921121,5,"Egg (4 Numbers)",20,200,1.79769313486232e+308
223,"6/11/99",1,921221,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
91,"5/20/99",1,930121,5,"Egg (4 Numbers)",20,160,1.79769313486232e+308
109,"5/20/99",1,930141,2,"Fruit (Kg)",1.79769313486232e+308,1000,80
110,"5/20/99",1,930141,5,"Egg (4 Numbers)",35,350,1.79769313486232e+308
116,"5/20/99",1,930151,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"5/20/99",1,930221,1,"Tress (number)",11,1100,150
93,"5/20/99",1,930221,4,"Milk (Litre)",180,1800,1.79769313486232e+308
94,"5/20/99",1,930221,5,"Egg (4 Numbers)",25,200,1.79769313486232e+308
111,"5/20/99",1,930241,5,"Egg (4 Numbers)",3,24,1.79769313486232e+308
117,"5/20/99",1,930251,5,"Egg (4 Numbers)",5,50,1.79769313486232e+308
95,"5/20/99",1,930321,5,"Egg (4 Numbers)",15,120,1.79769313486232e+308
112,"5/20/99",1,930341,5,"Egg (4 Numbers)",5,40,1.79769313486232e+308
113,"5/20/99",1,930342,4,"Milk (Litre)",100,1000,300
118,"5/20/99",1,930351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
119,"5/20/99",1,930352,5,"Egg (4 Numbers)",20,160,1.79769313486232e+308
96,"5/20/99",1,930421,4,"Milk (Litre)",320,3200,1.79769313486232e+308
97,"5/20/99",1,930421,5,"Egg (4 Numbers)",6,48,1.79769313486232e+308
114,"5/20/99",1,930441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120,"5/20/99",1,930459,1,"Tress (number)",100,5000,1.79769313486232e+308
98,"5/20/99",1,930521,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
115,"5/20/99",1,930541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"5/20/99",1,930621,5,"Egg (4 Numbers)",20,160,1.79769313486232e+308
100,"5/20/99",1,930721,5,"Egg (4 Numbers)",4,32,1.79769313486232e+308
101,"5/20/99",1,930821,1,"Tress (number)",4,2000,1.79769313486232e+308
102,"5/20/99",1,930821,5,"Egg (4 Numbers)",20,160,1.79769313486232e+308
103,"5/20/99",1,930921,1,"Tress (number)",2,1800,1.79769313486232e+308
104,"5/20/99",1,931021,5,"Egg (4 Numbers)",10,80,1.79769313486232e+308
105,"5/20/99",1,931022,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
106,"5/20/99",1,931121,4,"Milk (Litre)",360,3600,1.79769313486232e+308
107,"5/20/99",1,931221,1,"Tress (number)",1,500,1.79769313486232e+308
108,"5/20/99",1,931222,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
119,"5/17/99",1,1010121,1,"Tress (number)",4,4500,1.79769313486232e+308
120,"5/18/99",1,1010121,2,"Fruit (Kg)",50,300,1.79769313486232e+308
121,"5/18/99",1,1010121,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
122,"5/18/99",1,1010121,6,"Other agri product (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
158,"5/18/99",1,1010141,1,"Tress (number)",2,2500,1.79769313486232e+308
159,"5/18/99",1,1010141,2,"Fruit (Kg)",20,100,1.79769313486232e+308
160,"5/18/99",1,1010141,4,"Milk (Litre)",150,2250,1.79769313486232e+308
161,"5/18/99",1,1010141,5,"Egg (4 Numbers)",30,300,1.79769313486232e+308
171,"5/18/99",1,1010151,2,"Fruit (Kg)",80,480,1.79769313486232e+308
172,"5/18/99",1,1010151,5,"Egg (4 Numbers)",10,100,1.79769313486232e+308
173,"5/18/99",1,1010151,6,"Other agri product (Kg)",1.79769313486232e+308,2500,1.79769313486232e+308
174,"5/18/99",1,1010152,2,"Fruit (Kg)",20,100,1.79769313486232e+308
175,"5/18/99",1,1010152,5,"Egg (4 Numbers)",5,50,1.79769313486232e+308
176,"5/18/99",1,1010152,6,"Other agri product (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
157,"9/11/99",1,1010153,5,"Egg (4 Numbers)",4,40,1.79769313486232e+308
123,"5/18/99",1,1010221,1,"Tress (number)",1,500,1.79769313486232e+308
124,"5/18/99",1,1010221,2,"Fruit (Kg)",30,180,1.79769313486232e+308
125,"5/18/99",1,1010221,5,"Egg (4 Numbers)",4,48,1.79769313486232e+308
126,"5/18/99",1,1010221,6,"Other agri product (Kg)",1.79769313486232e+308,800,1.79769313486232e+308
148,"9/11/99",1,1010241,2,"Fruit (Kg)",100,500,1.79769313486232e+308
149,"9/11/99",1,1010241,3,"Other forest product",1.79769313486232e+308,800,1.79769313486232e+308
150,"9/11/99",1,1010241,5,"Egg (4 Numbers)",10,100,1.79769313486232e+308
151,"9/11/99",1,1010241,6,"Other agri product (Kg)",20,100,1.79769313486232e+308
177,"5/18/99",1,1010251,1,"Tress (number)",30,2000,1.79769313486232e+308
178,"5/18/99",1,1010251,2,"Fruit (Kg)",50,600,1.79769313486232e+308
179,"5/18/99",1,1010251,4,"Milk (Litre)",90,1800,1.79769313486232e+308
180,"5/18/99",1,1010251,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
181,"5/18/99",1,1010251,6,"Other agri product (Kg)",1.79769313486232e+308,2200,1.79769313486232e+308
127,"5/18/99",1,1010321,2,"Fruit (Kg)",45,270,1.79769313486232e+308
128,"5/18/99",1,1010321,5,"Egg (4 Numbers)",85,850,1.79769313486232e+308
129,"5/18/99",1,1010321,6,"Other agri product (Kg)",1.79769313486232e+308,450,1.79769313486232e+308
162,"5/18/99",1,1010341,2,"Fruit (Kg)",30,240,1.79769313486232e+308
163,"5/18/99",1,1010341,5,"Egg (4 Numbers)",25,250,1.79769313486232e+308
182,"5/18/99",1,1010351,2,"Fruit (Kg)",30,150,1.79769313486232e+308
183,"5/18/99",1,1010351,3,"Other forest product",1.79769313486232e+308,300,1.79769313486232e+308
184,"5/18/99",1,1010351,5,"Egg (4 Numbers)",50,500,200
130,"5/18/99",1,1010421,2,"Fruit (Kg)",270,1750,1.79769313486232e+308
131,"5/18/99",1,1010421,4,"Milk (Litre)",360,5400,300
132,"5/18/99",1,1010421,5,"Egg (4 Numbers)",60,600,250
133,"5/18/99",1,1010422,2,"Fruit (Kg)",50,500,1.79769313486232e+308
134,"5/18/99",1,1010422,5,"Egg (4 Numbers)",125,1250,400
164,"5/18/99",1,1010441,2,"Fruit (Kg)",100,500,1.79769313486232e+308
165,"5/18/99",1,1010441,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
166,"5/18/99",1,1010441,6,"Other agri product (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
185,"5/18/99",1,1010459,2,"Fruit (Kg)",50,300,1.79769313486232e+308
186,"5/18/99",1,1010459,5,"Egg (4 Numbers)",20,200,1.79769313486232e+308
187,"5/18/99",1,1010459,6,"Other agri product (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
167,"5/18/99",1,1010542,2,"Fruit (Kg)",10,60,1.79769313486232e+308
168,"5/18/99",1,1010542,3,"Other forest product",1.79769313486232e+308,200,1.79769313486232e+308
169,"5/18/99",1,1010542,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
170,"5/18/99",1,1010542,6,"Other agri product (Kg)",1.79769313486232e+308,100,1.79769313486232e+308
135,"5/18/99",1,1010621,2,"Fruit (Kg)",15,45,1.79769313486232e+308
136,"5/18/99",1,1010621,3,"Other forest product",1.79769313486232e+308,200,1.79769313486232e+308
137,"5/18/99",1,1010621,4,"Milk (Litre)",45,675,1.79769313486232e+308
138,"5/18/99",1,1010621,5,"Egg (4 Numbers)",60,600,1.79769313486232e+308
139,"5/18/99",1,1010821,2,"Fruit (Kg)",100,500,1.79769313486232e+308
140,"5/18/99",1,1010821,3,"Other forest product",1.79769313486232e+308,1500,1.79769313486232e+308
141,"5/18/99",1,1010821,4,"Milk (Litre)",25,500,1.79769313486232e+308
142,"5/18/99",1,1010821,5,"Egg (4 Numbers)",50,600,1.79769313486232e+308
143,"5/18/99",1,1010821,6,"Other agri product (Kg)",50,250,1.79769313486232e+308
144,"5/18/99",1,1010921,1,"Tress (number)",2,400,1.79769313486232e+308
145,"5/18/99",1,1010921,2,"Fruit (Kg)",50,250,1.79769313486232e+308
146,"5/18/99",1,1010921,5,"Egg (4 Numbers)",7,70,1.79769313486232e+308
147,"5/18/99",1,1010921,6,"Other agri product (Kg)",1.79769313486232e+308,2500,1.79769313486232e+308
148,"5/18/99",1,1011021,1,"Tress (number)",2,1400,1.79769313486232e+308
149,"5/18/99",1,1011021,3,"Other forest product",1.79769313486232e+308,1000,1.79769313486232e+308
150,"5/18/99",1,1011021,5,"Egg (4 Numbers)",10,100,1.79769313486232e+308
151,"5/18/99",1,1011121,2,"Fruit (Kg)",30,200,1.79769313486232e+308
152,"5/18/99",1,1011121,3,"Other forest product",1.79769313486232e+308,250,1.79769313486232e+308
153,"5/18/99",1,1011121,5,"Egg (4 Numbers)",30,300,1.79769313486232e+308
154,"5/18/99",1,1011221,2,"Fruit (Kg)",40,200,1.79769313486232e+308
155,"5/18/99",1,1011221,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
156,"5/18/99",1,1011221,4,"Milk (Litre)",30,360,1.79769313486232e+308
157,"5/18/99",1,1011221,5,"Egg (4 Numbers)",50,500,200
134,"9/11/99",1,1020121,2,"Fruit (Kg)",50,250,1.79769313486232e+308
135,"9/11/99",1,1020121,4,"Milk (Litre)",60,480,1.79769313486232e+308
136,"9/11/99",1,1020121,5,"Egg (4 Numbers)",40,400,100
219,"6/01/99",1,1020122,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
220,"6/07/99",1,1020122,5,"Egg (4 Numbers)",50,500,400
221,"6/07/99",1,1020123,2,"Fruit (Kg)",25,125,1.79769313486232e+308
222,"6/07/99",1,1020123,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
260,"6/07/99",1,1020141,2,"Fruit (Kg)",1.79769313486232e+308,400,1.79769313486232e+308
261,"6/07/99",1,1020141,5,"Egg (4 Numbers)",30,300,1.79769313486232e+308
272,"6/07/99",1,1020151,2,"Fruit (Kg)",30,300,1.79769313486232e+308
273,"6/07/99",1,1020151,3,"Other forest product",1.79769313486232e+308,900,1.79769313486232e+308
274,"6/07/99",1,1020151,4,"Milk (Litre)",100,1200,800
275,"6/07/99",1,1020151,5,"Egg (4 Numbers)",50,500,500
223,"6/07/99",1,1020221,2,"Fruit (Kg)",60,300,1.79769313486232e+308
224,"6/07/99",1,1020221,3,"Other forest product",1.79769313486232e+308,1000,1.79769313486232e+308
225,"6/07/99",1,1020221,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
262,"6/07/99",1,1020241,2,"Fruit (Kg)",15,150,1.79769313486232e+308
263,"6/07/99",1,1020241,3,"Other forest product",1.79769313486232e+308,300,1.79769313486232e+308
264,"6/07/99",1,1020241,5,"Egg (4 Numbers)",30,300,250
276,"6/07/99",1,1020251,1,"Tress (number)",3,12000,1.79769313486232e+308
277,"6/07/99",1,1020251,2,"Fruit (Kg)",1.79769313486232e+308,2800,1.79769313486232e+308
278,"6/07/99",1,1020251,3,"Other forest product",1.79769313486232e+308,5000,1.79769313486232e+308
279,"6/07/99",1,1020251,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
226,"6/07/99",1,1020321,1,"Tress (number)",1,2000,1.79769313486232e+308
227,"6/07/99",1,1020321,2,"Fruit (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
228,"6/07/99",1,1020321,3,"Other forest product",1.79769313486232e+308,400,1.79769313486232e+308
229,"6/07/99",1,1020321,5,"Egg (4 Numbers)",60,600,1.79769313486232e+308
265,"6/07/99",1,1020341,2,"Fruit (Kg)",25,150,1.79769313486232e+308
266,"6/07/99",1,1020341,5,"Egg (4 Numbers)",30,300,200
280,"6/07/99",1,1020351,2,"Fruit (Kg)",150,750,1.79769313486232e+308
281,"6/07/99",1,1020351,3,"Other forest product",1.79769313486232e+308,600,1.79769313486232e+308
282,"6/07/99",1,1020351,4,"Milk (Litre)",100,1200,1.79769313486232e+308
283,"6/07/99",1,1020351,5,"Egg (4 Numbers)",80,800,1.79769313486232e+308
230,"6/07/99",1,1020421,2,"Fruit (Kg)",60,600,1.79769313486232e+308
231,"6/07/99",1,1020421,3,"Other forest product",1.79769313486232e+308,1000,1.79769313486232e+308
232,"6/07/99",1,1020421,4,"Milk (Litre)",90,1260,1.79769313486232e+308
233,"6/07/99",1,1020421,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
234,"6/07/99",1,1020422,5,"Egg (4 Numbers)",80,800,550
267,"6/07/99",1,1020441,2,"Fruit (Kg)",80,720,1.79769313486232e+308
268,"6/07/99",1,1020441,3,"Other forest product",1.79769313486232e+308,300,1.79769313486232e+308
269,"6/07/99",1,1020441,5,"Egg (4 Numbers)",30,300,1.79769313486232e+308
284,"6/07/99",1,1020459,1,"Tress (number)",2,1800,1.79769313486232e+308
285,"6/07/99",1,1020459,2,"Fruit (Kg)",30,300,1.79769313486232e+308
286,"6/07/99",1,1020459,3,"Other forest product",1.79769313486232e+308,1500,1.79769313486232e+308
287,"6/07/99",1,1020459,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
235,"6/07/99",1,1020521,2,"Fruit (Kg)",25,125,1.79769313486232e+308
236,"6/07/99",1,1020521,3,"Other forest product",1.79769313486232e+308,250,1.79769313486232e+308
237,"6/07/99",1,1020521,4,"Milk (Litre)",90,1080,350
238,"6/07/99",1,1020521,5,"Egg (4 Numbers)",80,800,350
270,"6/07/99",1,1020541,2,"Fruit (Kg)",100,800,1.79769313486232e+308
271,"6/07/99",1,1020541,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
239,"6/07/99",1,1020621,2,"Fruit (Kg)",100,600,1.79769313486232e+308
240,"6/07/99",1,1020621,3,"Other forest product",1.79769313486232e+308,800,1.79769313486232e+308
241,"6/07/99",1,1020621,5,"Egg (4 Numbers)",50,500,400
242,"6/07/99",1,1020622,2,"Fruit (Kg)",25,150,20
243,"6/07/99",1,1020622,3,"Other forest product",1.79769313486232e+308,300,1.79769313486232e+308
244,"6/07/99",1,1020622,5,"Egg (4 Numbers)",35,350,250
245,"6/07/99",1,1020721,2,"Fruit (Kg)",250,1250,1.79769313486232e+308
246,"6/07/99",1,1020721,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
247,"6/07/99",1,1020821,2,"Fruit (Kg)",28,280,1.79769313486232e+308
248,"6/07/99",1,1020821,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
249,"6/07/99",1,1020821,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
250,"6/07/99",1,1020921,2,"Fruit (Kg)",100,1000,1.79769313486232e+308
251,"6/07/99",1,1020921,5,"Egg (4 Numbers)",35,420,300
252,"6/07/99",1,1020921,6,"Other agri product (Kg)",1.79769313486232e+308,1000,1.79769313486232e+308
253,"6/07/99",1,1021021,2,"Fruit (Kg)",80,400,1.79769313486232e+308
254,"6/07/99",1,1021021,5,"Egg (4 Numbers)",50,400,1.79769313486232e+308
255,"6/07/99",1,1021121,2,"Fruit (Kg)",50,500,1.79769313486232e+308
256,"6/07/99",1,1021121,3,"Other forest product",1.79769313486232e+308,800,1.79769313486232e+308
257,"6/07/99",1,1021121,5,"Egg (4 Numbers)",30,300,1.79769313486232e+308
258,"6/07/99",1,1021221,2,"Fruit (Kg)",20,100,1.79769313486232e+308
259,"6/07/99",1,1021221,5,"Egg (4 Numbers)",30,300,1.79769313486232e+308
233,"8/11/99",1,1030121,2,"Fruit (Kg)",100,500,50
234,"8/11/99",1,1030121,3,"Other forest product",1.79769313486232e+308,600,1.79769313486232e+308
235,"8/11/99",1,1030121,5,"Egg (4 Numbers)",50,500,300
273,"8/11/99",1,1030141,2,"Fruit (Kg)",60,300,1.79769313486232e+308
274,"8/11/99",1,1030141,3,"Other forest product",1.79769313486232e+308,800,1.79769313486232e+308
275,"8/11/99",1,1030141,4,"Milk (Litre)",120,1440,1.79769313486232e+308
276,"8/11/99",1,1030141,5,"Egg (4 Numbers)",45,450,1.79769313486232e+308
288,"8/11/99",1,1030151,2,"Fruit (Kg)",150,900,1.79769313486232e+308
289,"8/11/99",1,1030151,3,"Other forest product",1.79769313486232e+308,3000,1.79769313486232e+308
290,"8/11/99",1,1030151,5,"Egg (4 Numbers)",50,500,200
236,"8/11/99",1,1030221,5,"Egg (4 Numbers)",20,200,1.79769313486232e+308
237,"8/11/99",1,1030221,6,"Other agri product (Kg)",1.79769313486232e+308,300,1.79769313486232e+308
238,"8/11/99",1,1030222,2,"Fruit (Kg)",1.79769313486232e+308,1200,1.79769313486232e+308
239,"8/11/99",1,1030222,5,"Egg (4 Numbers)",30,300,200
277,"8/11/99",1,1030241,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
278,"8/11/99",1,1030241,5,"Egg (4 Numbers)",80,800,1.79769313486232e+308
291,"8/11/99",1,1030251,1,"Tress (number)",2,1500,1.79769313486232e+308
292,"8/11/99",1,1030251,2,"Fruit (Kg)",250,1500,1.79769313486232e+308
293,"8/11/99",1,1030251,3,"Other forest product",1.79769313486232e+308,800,1.79769313486232e+308
240,"8/11/99",1,1030321,2,"Fruit (Kg)",20,200,1.79769313486232e+308
241,"8/11/99",1,1030321,5,"Egg (4 Numbers)",40,400,300
242,"8/11/99",1,1030321,6,"Other agri product (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
279,"8/11/99",1,1030341,2,"Fruit (Kg)",1.79769313486232e+308,800,1.79769313486232e+308
280,"8/11/99",1,1030341,5,"Egg (4 Numbers)",20,200,1.79769313486232e+308
281,"8/11/99",1,1030342,2,"Fruit (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
282,"8/11/99",1,1030342,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
294,"8/11/99",1,1030351,2,"Fruit (Kg)",1.79769313486232e+308,2800,1.79769313486232e+308
295,"8/11/99",1,1030351,4,"Milk (Litre)",90,900,500
296,"8/11/99",1,1030351,5,"Egg (4 Numbers)",50,500,150
297,"8/11/99",1,1030352,2,"Fruit (Kg)",1.79769313486232e+308,1500,1.79769313486232e+308
298,"8/11/99",1,1030352,5,"Egg (4 Numbers)",20,200,100
243,"8/11/99",1,1030421,2,"Fruit (Kg)",50,250,1.79769313486232e+308
244,"8/11/99",1,1030421,3,"Other forest product",1.79769313486232e+308,450,1.79769313486232e+308
245,"8/11/99",1,1030421,4,"Milk (Litre)",100,1200,1.79769313486232e+308
246,"8/11/99",1,1030421,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
283,"8/11/99",1,1030441,2,"Fruit (Kg)",18,90,1.79769313486232e+308
284,"8/11/99",1,1030441,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
285,"8/11/99",1,1030441,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
299,"8/11/99",1,1030459,2,"Fruit (Kg)",100,1000,1.79769313486232e+308
300,"8/11/99",1,1030459,3,"Other forest product",1.79769313486232e+308,800,1.79769313486232e+308
301,"8/11/99",1,1030459,4,"Milk (Litre)",90,1080,1.79769313486232e+308
302,"8/11/99",1,1030459,5,"Egg (4 Numbers)",50,500,1.79769313486232e+308
247,"8/11/99",1,1030521,2,"Fruit (Kg)",80,800,1.79769313486232e+308
248,"8/11/99",1,1030521,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
249,"8/11/99",1,1030521,4,"Milk (Litre)",120,1440,1.79769313486232e+308
250,"8/11/99",1,1030521,5,"Egg (4 Numbers)",20,200,1.79769313486232e+308
286,"8/11/99",1,1030541,2,"Fruit (Kg)",80,620,1.79769313486232e+308
287,"8/11/99",1,1030541,4,"Milk (Litre)",150,1800,500
251,"8/11/99",1,1030621,2,"Fruit (Kg)",80,400,1.79769313486232e+308
252,"8/11/99",1,1030621,3,"Other forest product",1.79769313486232e+308,800,1.79769313486232e+308
253,"8/11/99",1,1030621,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
254,"8/11/99",1,1030721,4,"Milk (Litre)",60,720,1.79769313486232e+308
255,"8/11/99",1,1030721,5,"Egg (4 Numbers)",10,100,1.79769313486232e+308
256,"8/11/99",1,1030821,2,"Fruit (Kg)",100,1000,1.79769313486232e+308
257,"8/11/99",1,1030821,3,"Other forest product",1.79769313486232e+308,1500,1.79769313486232e+308
258,"8/11/99",1,1030821,4,"Milk (Litre)",80,960,1.79769313486232e+308
259,"8/11/99",1,1030821,5,"Egg (4 Numbers)",12,120,1.79769313486232e+308
260,"8/11/99",1,1030921,5,"Egg (4 Numbers)",10,140,1.79769313486232e+308
261,"8/11/99",1,1030921,6,"Other agri product (Kg)",1.79769313486232e+308,300,1.79769313486232e+308
262,"8/11/99",1,1031021,2,"Fruit (Kg)",50,500,1.79769313486232e+308
263,"8/11/99",1,1031021,4,"Milk (Litre)",150,1800,150
264,"8/11/99",1,1031021,5,"Egg (4 Numbers)",15,150,1.79769313486232e+308
265,"8/11/99",1,1031021,6,"Other agri product (Kg)",1.79769313486232e+308,300,1.79769313486232e+308
266,"8/11/99",1,1031121,2,"Fruit (Kg)",60,300,1.79769313486232e+308
267,"8/11/99",1,1031121,3,"Other forest product",1.79769313486232e+308,900,1.79769313486232e+308
268,"8/11/99",1,1031121,5,"Egg (4 Numbers)",30,300,120
269,"8/11/99",1,1031221,2,"Fruit (Kg)",50,250,1.79769313486232e+308
270,"8/11/99",1,1031221,3,"Other forest product",1.79769313486232e+308,300,1.79769313486232e+308
271,"8/11/99",1,1031221,4,"Milk (Litre)",120,1680,1.79769313486232e+308
272,"8/11/99",1,1031221,5,"Egg (4 Numbers)",60,600,1.79769313486232e+308
1,"5/17/99",1,1110121,2,"Fruit (Kg)",60,240,1.79769313486232e+308
2,"5/18/99",1,1110121,5,"Egg (4 Numbers)",15,150,1.79769313486232e+308
41,"5/18/99",1,1110141,5,"Egg (4 Numbers)",70,700,150
42,"5/18/99",1,1110141,6,"Other agri product (Kg)",30,150,1.79769313486232e+308
52,"5/18/99",1,1110151,2,"Fruit (Kg)",1.79769313486232e+308,4800,1.79769313486232e+308
53,"5/18/99",1,1110151,4,"Milk (Litre)",180,1700,700
54,"5/18/99",1,1110151,5,"Egg (4 Numbers)",150,1500,250
55,"5/18/99",1,1110151,6,"Other agri product (Kg)",1.79769313486232e+308,250,1.79769313486232e+308
56,"5/18/99",1,1110152,2,"Fruit (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
57,"5/18/99",1,1110152,4,"Milk (Litre)",360,5760,200
58,"5/18/99",1,1110152,5,"Egg (4 Numbers)",90,900,1.79769313486232e+308
59,"5/18/99",1,1110152,6,"Other agri product (Kg)",150,1200,1.79769313486232e+308
3,"5/18/99",1,1110221,2,"Fruit (Kg)",1.79769313486232e+308,225,1.79769313486232e+308
4,"5/18/99",1,1110221,5,"Egg (4 Numbers)",360,3600,400
5,"5/18/99",1,1110221,6,"Other agri product (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
43,"5/18/99",1,1110241,5,"Egg (4 Numbers)",10,100,1.79769313486232e+308
44,"5/18/99",1,1110241,6,"Other agri product (Kg)",1.79769313486232e+308,70,1.79769313486232e+308
60,"5/18/99",1,1110251,2,"Fruit (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
61,"5/18/99",1,1110251,4,"Milk (Litre)",675,10800,1000
62,"5/18/99",1,1110251,5,"Egg (4 Numbers)",20,200,1.79769313486232e+308
63,"5/18/99",1,1110251,6,"Other agri product (Kg)",1.79769313486232e+308,1000,1.79769313486232e+308
6,"5/18/99",1,1110321,2,"Fruit (Kg)",1.79769313486232e+308,70,1.79769313486232e+308
7,"5/18/99",1,1110321,5,"Egg (4 Numbers)",5,50,1.79769313486232e+308
45,"5/18/99",1,1110341,5,"Egg (4 Numbers)",50,500,100
46,"5/18/99",1,1110341,6,"Other agri product (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
64,"5/18/99",1,1110351,2,"Fruit (Kg)",1.79769313486232e+308,5000,1.79769313486232e+308
65,"5/18/99",1,1110351,4,"Milk (Litre)",180,2880,1.79769313486232e+308
66,"5/18/99",1,1110351,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
67,"5/18/99",1,1110351,6,"Other agri product (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
8,"5/18/99",1,1110421,2,"Fruit (Kg)",400,2000,1.79769313486232e+308
9,"5/18/99",1,1110421,4,"Milk (Litre)",183,2920,700
10,"5/18/99",1,1110421,5,"Egg (4 Numbers)",200,2000,300
11,"5/18/99",1,1110421,6,"Other agri product (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
47,"5/18/99",1,1110441,2,"Fruit (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
48,"5/18/99",1,1110441,5,"Egg (4 Numbers)",40,400,1.79769313486232e+308
49,"5/18/99",1,1110441,6,"Other agri product (Kg)",1.79769313486232e+308,1000,1.79769313486232e+308
68,"5/18/99",1,1110459,2,"Fruit (Kg)",1.79769313486232e+308,400,1.79769313486232e+308
69,"5/18/99",1,1110459,5,"Egg (4 Numbers)",10,100,1.79769313486232e+308
70,"5/18/99",1,1110459,6,"Other agri product (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
12,"5/18/99",1,1110521,2,"Fruit (Kg)",1.79769313486232e+308,80,1.79769313486232e+308
13,"5/18/99",1,1110521,5,"Egg (4 Numbers)",70,700,1.79769313486232e+308
14,"5/18/99",1,1110521,6,"Other agri product (Kg)",1.79769313486232e+308,150,1.79769313486232e+308
50,"5/18/99",1,1110541,2,"Fruit (Kg)",1.79769313486232e+308,100,1.79769313486232e+308
51,"5/18/99",1,1110541,6,"Other agri product (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
15,"5/18/99",1,1110621,4,"Milk (Litre)",90,1550,1.79769313486232e+308
16,"5/18/99",1,1110621,5,"Egg (4 Numbers)",25,250,1.79769313486232e+308
17,"5/18/99",1,1110621,6,"Other agri product (Kg)",1.79769313486232e+308,150,1.79769313486232e+308
18,"5/18/99",1,1110721,4,"Milk (Litre)",60,960,1.79769313486232e+308
19,"5/18/99",1,1110721,5,"Egg (4 Numbers)",75,750,1.79769313486232e+308
20,"5/18/99",1,1110721,6,"Other agri product (Kg)",100,500,1.79769313486232e+308
21,"5/18/99",1,1110821,2,"Fruit (Kg)",1.79769313486232e+308,100,1.79769313486232e+308
22,"5/18/99",1,1110821,5,"Egg (4 Numbers)",70,700,150
23,"5/18/99",1,1110821,6,"Other agri product (Kg)",600,3000,1.79769313486232e+308
24,"5/18/99",1,1110921,2,"Fruit (Kg)",1.79769313486232e+308,150,1.79769313486232e+308
25,"5/18/99",1,1110921,6,"Other agri product (Kg)",1.79769313486232e+308,1800,1.79769313486232e+308
26,"5/18/99",1,1111021,2,"Fruit (Kg)",1.79769313486232e+308,100,1.79769313486232e+308
27,"5/18/99",1,1111021,3,"Other forest product",25,125,1.79769313486232e+308
